question,query,db_name,db_type,generated_query_1,generated_query_2,exact_match_1,exact_match_2,correct_1,correct_2,err_1,err_2,latency_seconds_1,latency_seconds_2,latency_seconds_extract_tables,extracted_tables,error_msg_1,error_msg_2,,
What is the level wise diversity ratio for account id 1245?,"SELECT level, COUNT(*) AS total_employees, COUNT(*) FILTER (WHERE gender = 'Male') AS male_count, COUNT(*) FILTER (WHERE gender = 'Female') AS female_count, COUNT(*) FILTER (WHERE gender NOT IN ('Male', 'Female')) AS other_gender_count, CASE WHEN COUNT(*) > 0 THEN ROUND(COUNT(*) FILTER (WHERE gender = 'Female')::decimal / COUNT(*), 2) ELSE 0 END AS female_ratio, CASE WHEN COUNT(*) > 0 THEN ROUND(COUNT(*) FILTER (WHERE gender = 'Male')::decimal / COUNT(*), 2) ELSE 0 END AS male_ratio, CASE WHEN COUNT(*) > 0 THEN ROUND(COUNT(*) FILTER (WHERE gender NOT IN ('Male', 'Female'))::decimal / COUNT(*), 2) ELSE 0 END AS other_gender_ratio FROM employees WHERE account_id = 1245 GROUP BY level ORDER BY level;",crux_assign,postgres,"WITH total_employees AS (
    SELECT COUNT(*) AS total_count
    FROM employees
    WHERE account_id = 1245
),
level_wise_employees AS (
    SELECT level, COUNT(*) AS count
    FROM employees
    WHERE account_id = 1245
    GROUP BY level
)
SELECT level, count, ROUND((count * 100.0) / (SELECT total_count FROM total_employees), 2) AS diversity_ratio
FROM level_wise_employees;","WITH total_count AS (
    SELECT COUNT(*) AS total_employees
    FROM employees
    WHERE account_id = 1245
),
level_count AS (
    SELECT level, COUNT(*) AS level_count
    FROM employees
    WHERE account_id = 1245
    GROUP BY level
)
SELECT level, level_count, total_employees, ROUND(CAST(level_count AS numeric) / NULLIF(total_employees, 0), 2) AS diversity_ratio
FROM level_count, total_count;",0,0,0,0,0,0,3.49766540527344,2.76231980323791,13.1892223358154,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE accounts (
  id bigint,
  logo character varying,
  ceo_id bigint,
  timezone character varying,
  created_at timestamp without time zone,
  enable_kpi boolean,
  updated_at timestamp without time zone,
  domain_name character varying,
  account_type character varying,
  company_name character varying,
  country_code character varying,
  email_client character varying,
  metabase_type bigint,
  planning_year bigint,
  remote_policy character varying,
  setting_tokens character varying,
  record_sessions boolean,
  trial_objective character varying,
  messaging_client bigint,
  survey_frequency character varying,
  enable_okr_update boolean,
  preferred_product character varying,
  company_size_range character varying,
  run_coffee_connect boolean,
  department_hierachy character varying,
  company_phone_number character varying,
  enable_goal_metadata boolean,
  glassdoor_review_link character varying,
  create_private_reviews boolean,
  signupform_communication_tool character varying
);",,,,
What is the trend of diversity ratio since 2020 for account id 2875,"SELECT EXTRACT( YEAR FROM date_of_joining ) AS year, ROUND( COUNT( CASE WHEN gender = 'Female' THEN 1 END )::NUMERIC / COUNT( CASE WHEN gender = 'Male' THEN 1 END ), 2 ) AS diversity_ratio FROM employees WHERE account_id = 2875 AND date_of_joining >= '2020-01-01' GROUP BY year ORDER BY year;",crux_assign,postgres,"SELECT TO_CHAR(created_at, 'DD-MM-YYYY') AS date, COUNT(DISTINCT employee_id) / COUNT(DISTINCT manager_id) AS diversity_ratio
FROM employees
WHERE account_id = 2875 AND EXTRACT(YEAR FROM created_at) >= 2020
GROUP BY TO_CHAR(created_at, 'DD-MM-YYYY')
ORDER BY TO_CHAR(created_at, 'DD-MM-YYYY') ASC;","SELECT TO_CHAR(created_at, 'DD-MM-YYYY') AS date, account_type, company_name, country_code, company_size_range, department_hierachy FROM accounts WHERE id = 2875 AND created_at >= '01-01-2020' ORDER BY created_at ASC;",0,0,0,0,1,0,3.0702862739563,2.14978861808777,6.13903570175171,"CREATE TABLE accounts (
  id bigint,
  logo character varying,
  ceo_id bigint,
  timezone character varying,
  created_at timestamp without time zone,
  enable_kpi boolean,
  updated_at timestamp without time zone,
  domain_name character varying,
  account_type character varying,
  company_name character varying,
  country_code character varying,
  email_client character varying,
  metabase_type bigint,
  planning_year bigint,
  remote_policy character varying,
  setting_tokens character varying,
  record_sessions boolean,
  trial_objective character varying,
  messaging_client bigint,
  survey_frequency character varying,
  enable_okr_update boolean,
  preferred_product character varying,
  company_size_range character varying,
  run_coffee_connect boolean,
  department_hierachy character varying,
  company_phone_number character varying,
  enable_goal_metadata boolean,
  glassdoor_review_link character varying,
  create_private_reviews boolean,
  signupform_communication_tool character varying
);","Error (psycopg2.errors.UndefinedColumn) column ""employee_id"" does not exist
LINE 1: ...created_at, 'DD-MM-YYYY') AS date, COUNT(DISTINCT employee_i...
                                                             ^

[SQL: SELECT TO_CHAR(created_at, 'DD-MM-YYYY') AS date, COUNT(DISTINCT employee_id) / COUNT(DISTINCT manager_id) AS diversity_ratio
FROM employees
WHERE account_id = 2875 AND EXTRACT(YEAR FROM created_at) >= 2020
GROUP BY TO_CHAR(created_at, 'DD-MM-YYYY')
ORDER BY TO_CHAR(created_at, 'DD-MM-YYYY') ASC;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,,
What is the Attrition by manager for 2023 for account id 1245?,"SELECT managers.id AS manager_id, managers.full_name AS manager_name, COUNT(employees.id) AS total_reportees, COUNT(CASE WHEN EXTRACT(YEAR FROM employees.date_of_exit) = 2023 THEN 1 ELSE NULL END) AS attrition_count FROM employees managers LEFT JOIN employees ON employees.manager_id = managers.id WHERE managers.account_id = 1245 GROUP BY managers.id, managers.full_name HAVING COUNT(employees.manager_id) > 0;",crux_assign,postgres,"SELECT employees.manager_id, COUNT(*) AS attrition_count
FROM employees
WHERE deactivated_at IS NOT NULL
AND EXTRACT(YEAR FROM deactivated_at) = 2023
AND account_id = 1245
GROUP BY employees.manager_id;","SELECT e.manager_id, COUNT(*) AS attrition_count
FROM employees e
WHERE e.account_id = 1245
AND EXTRACT(YEAR FROM e.date_of_exit) = 2023
GROUP BY e.manager_id;",0,0,0,0,0,0,1.8407473564148,1.84122180938721,9.5178587436676,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE reviewees (
  id bigint,
  created_at timestamp without time zone,
  manager_id bigint,
  updated_at timestamp without time zone,
  employee_id bigint,
  confidential boolean,
  discarded_at timestamp without time zone,
  one_on_one_id bigint,
  review_cycle_id bigint,
  custom_attribute character varying,
  custom_variables character varying,
  self_review_done boolean,
  goal_approval_done boolean,
  peer_approval_done boolean,
  goal_selection_done boolean,
  peer_selection_done boolean,
  release_review_done boolean,
  manager_summary_done boolean,
  review_writing_percent numeric(38,9),
  competency_approval_done boolean,
  competency_selection_done boolean
);
",,,,
What is the Attrition by Grade for account id 1245?,"SELECT level AS grade, COUNT(*) AS total_employees, COUNT(date_of_exit) AS attrition_count FROM employees WHERE account_id = 1245 GROUP BY level ORDER BY level;",crux_assign,postgres,"SELECT employees.level AS grade, COUNT(*) AS attrition_count
FROM employees
WHERE employees.account_id = 1245 AND employees.date_of_exit IS NOT NULL
GROUP BY employees.level;","SELECT e.level AS grade, COUNT(e.id) AS attrition_count
FROM employees e
WHERE e.account_id = 1245 AND e.date_of_exit IS NOT NULL
GROUP BY e.level;",0,0,0,0,0,0,2.14837741851807,1.60591554641724,9.44681334495544,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE departments (
  id bigint,
  name character varying,
  active boolean,
  ancestry character varying,
  account_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  discarded_at timestamp without time zone,
  ancestry_depth bigint,
  department_type bigint,
  department_type_name character varying
);",,,,
What is the Attrition by Role for account id 1245?,"SELECT title AS role, COUNT(*) AS total_employees, COUNT(date_of_exit) AS attrition_count FROM employees WHERE account_id = 1245 GROUP BY title ORDER BY title;",crux_assign,postgres,"SELECT e.org_role AS role, COUNT(*) AS attrition_count
FROM employees e
WHERE e.account_id = 1245 AND e.date_of_exit IS NOT NULL
GROUP BY e.org_role;","SELECT employees.org_role AS role, COUNT(*) AS attrition_count FROM employees WHERE employees.account_id = 1245 AND employees.date_of_exit IS NOT NULL GROUP BY employees.org_role;",0,0,0,0,0,0,2.14880394935608,1.84141540527344,7.98326659202576,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE departments (
  id bigint,
  name character varying,
  active boolean,
  ancestry character varying,
  account_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  discarded_at timestamp without time zone,
  ancestry_depth bigint,
  department_type bigint,
  department_type_name character varying
);",,,,
What is the Attrition by Tenure for account id 1245?,"WITH TenureData AS ( SELECT date_of_joining, date_of_exit, EXTRACT(YEAR FROM AGE(COALESCE(date_of_exit, CURRENT_DATE), date_of_joining)) AS tenure_years FROM employees WHERE account_id = 1245),TenureGroups AS ( SELECT CASE WHEN tenure_years < 1 THEN 'Less than 1 year' WHEN tenure_years >= 1 AND tenure_years < 2 THEN '1-2 years' WHEN tenure_years >= 2 AND tenure_years < 5 THEN '2-5 years' WHEN tenure_years >= 5 AND tenure_years < 10 THEN '5-10 years' WHEN tenure_years >= 10 THEN 'More than 10 years' ELSE 'Unknown' END AS tenure_group, (date_of_exit IS NOT NULL) AS has_exited FROM TenureData) SELECT tenure_group, COUNT(*) AS total_employees, SUM(CASE WHEN has_exited THEN 1 ELSE 0 END) AS attrition_count FROM TenureGroups GROUP BY tenure_group ORDER BY CASE WHEN tenure_group = 'Less than 1 year' THEN 1 WHEN tenure_group = '1-2 years' THEN 2 WHEN tenure_group = '2-5 years' THEN 3 WHEN tenure_group = '5-10 years' THEN 4 WHEN tenure_group = 'More than 10 years' THEN 5 ELSE 6 END;",crux_assign,postgres,"SELECT employees.tenure, COUNT(employees.id) AS attrition_count
FROM employees
WHERE employees.account_id = 1245
GROUP BY employees.tenure
ORDER BY employees.tenure ASC;","SELECT ROUND(COUNT(CASE WHEN date_of_exit IS NOT NULL THEN 1 END)::numeric / COUNT(*) * 100, 2) AS attrition_rate FROM employees WHERE account_id = 1245;",0,0,0,0,1,1,1.84277272224426,1.84182357788086,10.4381504058838,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE review_responses (
  id bigint,
  score numeric(38,9),
  goal_id bigint,
  option_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  employee_id bigint,
  question_id bigint,
  schedule_id bigint,
  discarded_at timestamp without time zone,
  is_responded boolean,
  response_text character varying,
  employee_chat_id bigint,
  responded_by_whom_id bigint,
  reminder_mail_sent_at timestamp without time zone,
  response_text_sentiment numeric(38,9),
  reminder_mail_sent_count bigint,
  response_text_word_count bigint
);","Error (psycopg2.errors.UndefinedColumn) column employees.tenure does not exist
LINE 1: SELECT employees.tenure, COUNT(employees.id) AS attrition_co...
               ^

[SQL: SELECT employees.tenure, COUNT(employees.id) AS attrition_count
FROM employees
WHERE employees.account_id = 1245
GROUP BY employees.tenure
ORDER BY employees.tenure ASC;]
(Background on this error at: https://sqlalche.me/e/20/f405)","Error (psycopg2.errors.DivisionByZero) division by zero

[SQL: SELECT ROUND(COUNT(CASE WHEN date_of_exit IS NOT NULL THEN 1 END)::numeric / COUNT(*) * 100, 2) AS attrition_rate FROM employees WHERE account_id = 1245;]
(Background on this error at: https://sqlalche.me/e/20/9h9h)",,
What is the engagement trend of each department for account id 1245?,"SELECT dp.name AS departmentName, s.id AS scheduleId, AVG(r.nps_score) AS score FROM responses r JOIN employee_chats ec ON r.employee_chat_id = ec.id JOIN employees e ON e.id = ec.employee_id JOIN schedules s ON s.id = ec.schedule_id JOIN departments dp ON dp.id = e.department_id JOIN questions q ON q.id = r.question_id JOIN drivers d ON d.id = q.driver_id WHERE e.account_id = 1245 AND d.key = 'engagement' AND q.question_type = 'nps' GROUP BY dp.name, s.id ORDER BY dp.name, s.id;",crux_assign,postgres,"SELECT departments.name AS department_name, TO_CHAR(employees.created_at, 'DD-MM-YYYY') AS join_date, COUNT(employees.id) AS total_employees FROM departments JOIN employees ON departments.id = employees.department_id WHERE employees.account_id = 1245 GROUP BY departments.name, join_date ORDER BY join_date ASC;","SELECT departments.name AS department_name, TO_CHAR(pulses.created_at, 'DD-MM-YYYY') AS pulse_date, COUNT(pulses.id) AS engagement_count
FROM departments
JOIN employees ON departments.id = employees.department_id
JOIN pulses ON employees.id = pulses.employee_id
WHERE departments.account_id = 1245
GROUP BY departments.name, pulse_date
ORDER BY department_name, pulse_date;",1,1,1,1,0,0,2.45659422874451,2.19810843467712,16.8453981876373,"CREATE TABLE departments (
  id bigint,
  name character varying,
  active boolean,
  ancestry character varying,
  account_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  discarded_at timestamp without time zone,
  ancestry_depth bigint,
  department_type bigint,
  department_type_name character varying
);

CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);

CREATE TABLE pulses (
  id bigint,
  status bigint,
  end_date timestamp without time zone,
  account_id bigint,
  created_at timestamp without time zone,
  manager_id bigint,
  pulse_type bigint,
  start_date timestamp without time zone,
  updated_at timestamp without time zone,
  employee_id bigint,
  reportee_id bigint,
  reviewed_on timestamp without time zone,
  schedule_id bigint,
  pulseable_id bigint,
  submitted_on timestamp without time zone,
  one_on_one_id bigint,
  pulseable_type character varying
);

CREATE TABLE responses (
  id bigint,
  closed_at timestamp without time zone,
  is_closed boolean,
  nps_score bigint,
  option_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  employee_id bigint,
  question_id bigint,
  schedule_id bigint,
  discarded_at timestamp without time zone,
  is_responded boolean,
  response_text character varying,
  employee_chat_id bigint,
  responded_by_whom_id bigint,
  reminder_mail_sent_at timestamp without time zone,
  response_text_sentiment numeric(38,9),
  reminder_mail_sent_count bigint,
  response_text_word_count bigint
);",,,,
What is the span of control of the organisation for account id 10,"WITH ManagerCounts AS ( SELECT manager_id FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL GROUP BY manager_id),TotalDirectReports AS ( SELECT COUNT(*) AS total_direct_reports FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL),TotalManagers AS ( SELECT COUNT(*) AS total_managers FROM ManagerCounts) SELECT total_direct_reports::FLOAT / total_managers AS average_span_of_control FROM TotalDirectReports, TotalManagers;",crux_assign,postgres,SELECT COUNT(DISTINCT manager_id) AS span_of_control FROM employees WHERE account_id = 10,,SELECT department_hierachy FROM accounts WHERE id = 10,,0,,0,0,1,1,0,0,5.27021479606628,"CREATE TABLE accounts (
    id bigint,
    logo character varying,
    ceo_id bigint,
    timezone character varying,
    created_at timestamp without time zone,
    enable_kpi boolean,
    updated_at timestamp without time zone,
    domain_name character varying,
    account_type character varying,
    company_name character varying,
    country_code character varying,
    email_client character varying,
    metabase_type bigint,
    planning_year bigint,
    remote_policy character varying,
    setting_tokens character varying,
    record_sessions boolean,
    trial_objective character varying,
    messaging_client bigint,
    survey_frequency character varying,
    enable_okr_update boolean,
    preferred_product character varying,
    company_size_range character varying,
    run_coffee_connect boolean,
    department_hierachy character varying,
    company_phone_number character varying,
    enable_goal_metadata boolean,
    glassdoor_review_link character varying,
    create_private_reviews boolean,
    signupform_communication_tool character varying
);","Error (psycopg2.errors.DivisionByZero) division by zero

[SQL: WITH ManagerCounts AS ( SELECT manager_id FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL GROUP BY manager_id),TotalDirectReports AS ( SELECT COUNT(*) AS total_direct_reports FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL),TotalManagers AS ( SELECT COUNT(*) AS total_managers FROM ManagerCounts) SELECT total_direct_reports::FLOAT / total_managers AS average_span_of_control FROM TotalDirectReports, TotalManagers]
(Background on this error at: https://sqlalche.me/e/20/9h9h)","Error (psycopg2.errors.DivisionByZero) division by zero

[SQL: WITH ManagerCounts AS ( SELECT manager_id FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL GROUP BY manager_id),TotalDirectReports AS ( SELECT COUNT(*) AS total_direct_reports FROM employees WHERE account_id = 10 AND manager_id IS NOT NULL),TotalManagers AS ( SELECT COUNT(*) AS total_managers FROM ManagerCounts) SELECT total_direct_reports::FLOAT / total_managers AS average_span_of_control FROM TotalDirectReports, TotalManagers]
(Background on this error at: https://sqlalche.me/e/20/9h9h)"
Which team has the highest attrition for account id 1245?,"WITH DepartmentEmployees AS ( SELECT department_id, department_name, COUNT(*) FILTER (WHERE date_of_joining < '2024-01-01'::timestamp AND (date_of_exit IS NULL OR date_of_exit > '2023-01-01'::timestamp)) AS StartingEmployees, COUNT(*) FILTER (WHERE date_of_joining >= '2023-01-01'::timestamp AND date_of_joining < '2024-01-01'::timestamp) AS NewHires, COUNT(*) FILTER (WHERE date_of_exit >= '2023-01-01'::timestamp AND date_of_exit < '2024-01-01'::timestamp) AS Exits FROM employees WHERE account_id = 1245 AND (date_of_joining < '2024-01-01'::timestamp OR date_of_exit BETWEEN '2023-01-01'::timestamp AND '2023-12-31'::timestamp) GROUP BY department_id, department_name) SELECT department_id, department_name, StartingEmployees, NewHires, Exits, CASE WHEN (StartingEmployees + NewHires) = 0 THEN NULL ELSE ROUND((Exits::NUMERIC / (StartingEmployees + NewHires)) * 100, 2) END AS AttritionPercentage FROM DepartmentEmployees;",crux_assign,postgres,"SELECT department_name, COUNT(*) as attrition_count
FROM employees
WHERE account_id = 1245 AND deactivated_at IS NOT NULL
GROUP BY department_name
ORDER BY attrition_count DESC
LIMIT 1;","SELECT department_name, COUNT(*) as attrition_count
FROM employees
WHERE account_id = 1245 AND date_of_exit IS NOT NULL
GROUP BY department_name
ORDER BY attrition_count DESC
LIMIT 1;",0,0,0,0,0,0,2.15849852561951,1.53801321983337,8.93488836288452,"CREATE TABLE departments (
  id bigint,
  name character varying,
  active boolean,
  ancestry character varying,
  account_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  discarded_at timestamp without time zone,
  ancestry_depth bigint,
  department_type bigint,
  department_type_name character varying
);

CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);
",,,,
What is the headcount trend by employment type for Tremblay Inc(10)?,"WITH yearly_trend AS ( SELECT EXTRACT(YEAR FROM date_of_joining) AS year, employment_type, COUNT(CASE WHEN date_of_joining IS NOT NULL THEN 1 END) AS join_count, COUNT(CASE WHEN date_of_exit IS NOT NULL THEN 1 END) AS exit_count FROM employees WHERE account_id = 10 GROUP BY EXTRACT(YEAR FROM date_of_joining), employment_type) SELECT year, employment_type, SUM(join_count - exit_count) OVER (PARTITION BY employment_type ORDER BY year) AS headcount_trend FROM yearly_trend ORDER BY employment_type, year;",crux_assign,postgres,"SELECT TO_CHAR(e.date_of_joining, 'DD-MM-YYYY') AS join_date, e.employment_type, COUNT(e.id) AS headcount
FROM employees e
WHERE e.account_id = 10
GROUP BY join_date, e.employment_type
ORDER BY join_date;","SELECT e.employment_type AS employment_type, COUNT(e.id) AS headcount FROM employees e WHERE e.account_id = 10 GROUP BY e.employment_type;",1,0,1,0,0,0,2.15447902679443,1.1771445274353,10.151869058609,"CREATE TABLE employees (
  id bigint,
  age bigint,
  level character varying,
  title character varying,
  gender character varying,
  invited boolean,
  user_id bigint,
  division character varying,
  location character varying,
  org_role character varying,
  timezone character varying,
  full_name character varying,
  account_id bigint,
  created_at timestamp without time zone,
  first_name character varying,
  goal_admin boolean,
  manager_id bigint,
  updated_at timestamp without time zone,
  nps_enabled boolean,
  activated_at timestamp without time zone,
  date_of_exit timestamp without time zone,
  phone_number character varying,
  account_admin boolean,
  business_unit character varying,
  department_id bigint,
  anonymous_name character varying,
  billing_status character varying,
  deactivated_at timestamp without time zone,
  cc_meeting_pref bigint,
  date_of_joining timestamp without time zone,
  department_name character varying,
  employee_source character varying,
  employment_type character varying,
  profile_picture character varying,
  pulse_frequency character varying,
  reportees_count bigint,
  run_coffee_connect boolean,
  company_employee_id character varying,
  primary_phone_number character varying,
  relationship_updated boolean,
  send_manager_checkin boolean,
  one_on_ones_updated_at timestamp without time zone,
  personal_email_address character varying,
  secondary_phone_number character varying,
  calendar_event_organizer_id bigint,
  calendar_data_last_updated_at timestamp without time zone
);
CREATE TABLE departments (
  id bigint,
  name character varying,
  active boolean,
  ancestry character varying,
  account_id bigint,
  created_at timestamp without time zone,
  updated_at timestamp without time zone,
  discarded_at timestamp without time zone,
  ancestry_depth bigint,
  department_type bigint,
  department_type_name character varying
);",,,,
